"Location_name","Status","Priority","Address","City","State","Zip_code","Country","Phone","Email","Website","Facebook","Instagram","YouTube","Twitter","LinkedIn","Fax","Img","Tags","Products","Description","Lat","Lng","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","Position_loca","Position_phone","Position_fax","Position_email","Position_web","Position_social","Marker"
"BİLGE ECZANESİ","active","10000","SOMA","MANİSA","","","Türkiye","2366131094","","","","","","","","","","Eczane","","","39.185113","27.608792","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"ALTINSOY ECZANESİ","active","10000","GEBZE","KOCAELİ","","","Türkiye","2626426767","","","","","","","","","","Eczane","","","40.8025157","29.4397941","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"ECZANE SU","active","10000","MERKEZ","ESKİŞEHİR","","","Türkiye","","","","","","","","","","","Eczane","","","39.7667061","30.52563109999999","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"MAYA ECZANESİ","active","10000","BAŞİSKELE","KOCAELİ","","","Türkiye","5346105947","","","","","","","","","","Eczane","","","40.6298368","29.950926","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"BELER ECZANESİ","active","10000","ALAŞEHİR","MANİSA","","","Türkiye","2366533303","","","","","","","","","","Eczane","","","38.354458","28.516541","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"BİLGE ECZANESİ","active","10000","MEZİTLİ","MERSİN","","","Türkiye","3243599733","","","","","","","","","","Eczane","","","36.8573692","34.3976356","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"HACETTEPE ECZANESİ","active","10000","SEYHAN","ADANA","","","Türkiye","3222273028","","","","","","","","","","Eczane","","","36.9914194","35.3308285","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"AŞLAMACI ECZANESİ","active","10000","Merkez","ADANA","","","Türkiye","","","","","","","","","","","Eczane","","","36.9914194","35.3308285","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"TUNALI ECZANESİ","active","10000","ÇANKAYA","ANKARA","","","Türkiye","3124180500","","","","","","","","","","Eczane","","","39.8451842","32.9212265","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"EMEK ECZANESİ","active","10000","BEYKOZ","İSTANBUL","","","Türkiye","2163234441","","","","","","","","","","Eczane","","","41.132719","29.10569","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"LA VİDA ECZANESİ","active","10000","BEYLİKDÜZÜ","İSTANBUL","","","Türkiye","","","","","","","","","","","Eczane","","","40.9910381","28.6498144","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"YASEMİN ECZANESİ","active","10000","EREĞLİ","ZONGULDAK","","","Türkiye","3723163096","","","","","","","","","","Eczane","","","41.279909","31.42026","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"GÖKMEN ECZANESİ","active","10000","MERKEZ","ÇORUM","","","Türkiye","3647770477","","","","","","","","","","Eczane","","","40.54992560000001","34.9537242","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"CAN ECZANESİ","active","10000","SARAY","TEKİRDAĞ","","","Türkiye","","","","","","","","","","","Eczane","","","41.441086","27.921588","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"FENERBAHÇE ECZANESİ","active","10000","KADIKÖY","İSTANBUL","","","Türkiye","2163369651","","","","","","","","","","Eczane","","","40.9818744","29.0576298","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"AYDIN ECZANESİ","active","10000","AVCILAR","İSTANBUL","","","Türkiye","","","","","","","","","","","Eczane","","","40.9802544","28.7205427","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"YAĞIZ ECZANESİ","active","10000","MALTEPE","İSTANBUL","","","Türkiye","2166297575","","","","","","","","","","Eczane","","","40.9498022","29.1739513","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"BALAÇ ECZANESİ","active","10000","ATAKUM","SAMSUN","","","Türkiye","","","","","","","","","","","Eczane","","","41.2797031","36.3360667","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"KOZA ECZANESİ","active","10000","EDREMİT","BALIKESİR","","","Türkiye","2663848585","","","","","","","","","","Eczane","","","39.594664","27.021888","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"IKIZ ECZANESI","active","10000","MERKEZ","ANTALYA","","","Türkiye","","","","","","","","","","","Eczane","","","36.8968908","30.7133233","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"AKŞEHİR ECZANESİ","active","10000","MURATPAŞA","ANTALYA","","","Türkiye","2423169858","","","","","","","","","","Eczane","","","36.8827594","30.769476","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"GONCA ECZANESİ","active","10000","ANTAKYA","HATAY","","","Türkiye","3262315051","","","","","","","","","","Eczane","","","36.2042794","36.1618938","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"KOÇAK ECZANESİ","active","10000","NİLÜFER","BURSA","","","Türkiye","2241111111","","","","","","","","","","Eczane","","","40.1885281","29.0609636","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"ŞİFA ECZANESİ","active","10000","TOSYA","KASTAMONU","","","Türkiye","3663137787","","","","","","","","","","Eczane","","","41.0174189","34.0374679","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"ONUR ECZANESİ","active","10000","BEYŞEHİR","KONYA","","","Türkiye","5422877007","","","","","","","","","","Eczane","","","37.679796","31.724299","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"DEVA ECZANESİ","active","10000","MERKEZ","TOKAT","","","Türkiye","3562130589","","","","","","","","","","Eczane","","","40.3234643","36.5521928","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"EMRE ECZANESİ","active","10000","MERKEZ","GİRESUN","","","Türkiye","4542402000","","","","","","","","","","Eczane","","","40.91753200000001","38.392653","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"MELEK ECZANESİ","active","10000","SİNCAN","ANKARA","","","Türkiye","","","","","","","","","","","Eczane","","","39.9333635","32.8597419","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"DİNÇER ECZANESİ","active","10000","ADAPAZARI","SAKARYA","","","Türkiye","2642713050","","","","","","","","","","Eczane","","","40.788855","30.405954","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"MEHTAP ECZANESİ","active","10000","MERKEZ","DÜZCE","","","Türkiye","3805250321","","","","","","","","","","Eczane","","","40.83872","31.162609","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"SOYDAŞ ECZANESİ","active","10000","TEPEBAŞI","ESKİŞEHİR","","","Türkiye","2223235510","","","","","","","","","","Eczane","","","39.873146","30.5739579","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"ELİF ECZANESİ","active","10000","AKÇAKOCA","DÜZCE","","","Türkiye","3806115888","","","","","","","","","","Eczane","","","41.088181","31.123976","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"MEHTAP ECZANESİ","active","10000","MERKEZ","DÜZCE","","","Türkiye","3805250321","","","","","","","","","","Eczane","","","40.83872","31.162609","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"GİZEM ECZANESİ","active","10000","ALAŞEHİR","MANİSA","","","Türkiye","2366538383","","","","","","","","","","Eczane","","","38.354458","28.516541","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"BİNEVLER SIHHAT ECZANESİ","active","10000","GAZIANTEP HAVALIMANI","GAZİANTEP","","","Türkiye","","","","","","","","","","","Eczane","","","36.9435888","37.4763761","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"UTKU ECZANESİ","active","10000","SEYHAN","ADANA","","","Türkiye","3228800020","","","","","","","","","","Eczane","","","36.9914194","35.3308285","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"ATA ECZANESİ","active","10000","Merkez","KAYSERİ","","","Türkiye","","","","","","","","","","","Eczane","","","38.720489","35.48259700000001","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"UĞRAK ECZANESİ","active","10000","ÇANKAYA","ANKARA","","","Türkiye","3122227976","","","","","","","","","","Eczane","","","39.8451842","32.9212265","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"ETLİK İHTİSAS ECZANESİ","active","10000","KEÇİÖREN","ANKARA","","","Türkiye","3123220011","","","","","","","","","","Eczane","","","40.0210623","32.831015","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"LADİN ECZANESİ","active","10000","SANCAKTEPE","İSTANBUL","","","Türkiye","2165158968","","","","","","","","","","Eczane","","","41.0287028","29.2901829","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"GÜLCAN ECZANESİ","active","10000","BEŞİKTAŞ","İSTANBUL","","","Türkiye","2122600337","","","","","","","","","","Eczane","","","41.0422066","29.0067037","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"KARE ECZANESİ","active","10000","KADIKÖY","İSTANBUL","","","Türkiye","5073586152","","","","","","","","","","Eczane","","","40.9818744","29.0576298","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"LOTUS ECZANESİ","active","10000","İSTANBUL HAVALIMANI","İSTANBUL","","","Türkiye","","","","","","","","","","","Eczane","","","41.2768187","28.7301397","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"FEYZA ECZANESİ","active","10000","BAŞAKŞEHİR","İSTANBUL","","","Türkiye","2128926892","","","","","","","","","","Eczane","","","41.083333","28.816667","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"AYŞEM ECZANESİ","active","10000","BAKIRKÖY","İSTANBUL","","","Türkiye","2125713464","","","","","","","","","","Eczane","","","40.9714189","28.82472199999999","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"YENİ FİLİZ ECZANESİ","active","10000","ANKARA ESENBOĞA HAVALIMANI","ANKARA","","","Türkiye","","","","","","","","","","","Eczane","","","40.1149458","32.9926733","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"RANA ECZANESİ","active","10000","BEYLİKDÜZÜ","İSTANBUL","","","Türkiye","2128541622","","","","","","","","","","Eczane","","","40.9910381","28.6498144","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"OZGUR ECZANESI","active","10000","MERKEZ","BALIKESİR","","","Türkiye","2662275970","","","","","","","","","","Eczane","","","39.6062857","27.8311428","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"UĞUR AKDENİZ ECZANESİ","active","10000","MANAVGAT","ANTALYA","","","Türkiye","2427430777","","","","","","","","","","Eczane","","","36.786869","31.441282","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"AKSOY ECZANESI","active","10000","ANTALYA HAVALIMANI","ANTALYA","","","Türkiye","","","","","","","","","","","Eczane","","","36.9086961","30.7981855","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"HAYAT ECZANESİ","active","10000","İSKENDERUN","HATAY","","","Türkiye","3266160060","","","","","","","","","","Eczane","","","36.584673","36.1756161","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"MÜGE ECZANESİ","active","10000","EDREMİT","BALIKESİR","","","Türkiye","2663731440","","","","","","","","","","Eczane","","","39.594664","27.021888","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"BERKAY ECZANESİ","active","10000","ERENLER","SAKARYA","","","Türkiye","2642416007","","","","","","","","","","Eczane","","","40.75103900000001","30.414263","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"LOKMAN ECZANESİ","active","10000","MERKEZ","UŞAK","","","Türkiye","2762122002","","","","","","","","","","Eczane","","","38.6742286","29.4058825","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"UMUT ECZANESİ","active","10000","ATAKUM","SAMSUN","","","Türkiye","3624384121","","","","","","","","","","Eczane","","","41.2797031","36.3360667","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"SAZBEYI ECZANESI","active","10000","MERKEZ","GİRESUN","","","Türkiye","","","","","","","","","","","Eczane","","","40.91753200000001","38.392653","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"GÖNÜL ECZANESİ","active","10000","MERKEZ","DÜZCE","","","Türkiye","3805525228","","","","","","","","","","Eczane","","","40.83872","31.162609","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"BİLGİÇ ECZANESİ","active","10000","AKHİSAR","MANİSA","","","Türkiye","2364122434","","","","","","","","","","Eczane","","","38.91766399999999","27.83662","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"ARDA ECZANESİ","active","10000","MERKEZ","BOLU","","","Türkiye","","","","","","","","","","","Eczane","","","40.7652553","31.6880087","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"ŞERMİN ECZANESİ","active","10000","GÖNEN","BALIKESİR","","","Türkiye","2667621836","","","","","","","","","","Eczane","","","40.102572","27.658373","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"ENGİN ECZANESİ","active","10000","MAMAK","ANKARA","","","Türkiye","5304328384","","","","","","","","","","Eczane","","","39.9124056","33.0563914","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"MELİS ECZANESİ","active","10000","ORHANGAZİ","BURSA","","","Türkiye","2245734485","","","","","","","","","","Eczane","","","40.49008","29.30880599999999","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"ESİN ECZANESİ","active","10000","SALİHLİ","MANİSA","","","Türkiye","2367144646","","","","","","","","","","Eczane","","","38.487074","28.138052","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"BURAK ECZANESİ","active","10000","MERKEZ","OSMANİYE","","","Türkiye","3288148333","","","","","","","","","","Eczane","","","37.1297417","36.3064595","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"YAŞAM ECZANESİ","active","10000","DÖRTYOL","HATAY","","","Türkiye","3267134252","","","","","","","","","","Eczane","","","36.84335799999999","36.221565","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"ÖZGE ECZANESİ","active","10000","HATAY HAVALIMANI","HATAY","","","Türkiye","","","","","","","","","","","Eczane","","","36.3640707","36.2815467","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"VİTAMİN ECZANESİ","active","10000","BAYRAMPAŞA","İSTANBUL","","","Türkiye","2126748718","","","","","","","","","","Eczane","","","41.0481503","28.90045529999999","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"GÜNAY ECZANESİ","active","10000","ANTAKYA","HATAY","","","Türkiye","3262415444","","","","","","","","","","Eczane","","","36.2042794","36.1618938","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"LAL ECZANESİ","active","10000","KADIKÖY","İSTANBUL","","","Türkiye","2163686603","","","","","","","","","","Eczane","","","40.9818744","29.0576298","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"SAMET ECZANESİ","active","10000","MERKEZ","MALATYA","","","Türkiye","","","","","","","","","","","Eczane","","","38.3553627","38.33352470000001","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"CEREN ECZANESİ","active","10000","MERKEZ","MALATYA","","","Türkiye","","","","","","","","","","","Eczane","","","38.3553627","38.33352470000001","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"BAŞKENT ECZANESİ","active","10000","ANKARA ESENBOĞA HAVALIMANI","ANKARA","","","Türkiye","","","","","","","","","","","Eczane","","","40.1149458","32.9926733","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"GAMZE ECZANESİ","active","10000","KADIKÖY","İSTANBUL","","","Türkiye","2163260104","","","","","","","","","","Eczane","","","40.9818744","29.0576298","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
